paper,sheet,column,reference_value,test_value,verdict,note,decided_by,decided_on
Evidence for phloem loading via the abaxial bundle sheath cells in maize leaves,dissociation,dissociation_protocol_method,"L-cysteine pretreatment, enzymatic digestion, centrifugation, filtration","Enzymatic protoplasting with cellulase, pectolyase, and macerozyme",both,"Complementary and both accurate: the human lists the process steps (L-cysteine pretreatment, digestion, centrifugation, filtration), GPT lists the reagents (cellulase, pectolyase, macerozyme). The human's flagged terms are nominalisations of the paper's own wording ('l-cys', 'enzyme solution', 'spun', 'strained').",felix.shaw@earlham.ac.uk,2026-09-10
Evolution of plant cell-type-specific cis-regulatory elements,study,experimental_factor,"development, tissue type, age","Plant species, organ, developmental stage, and cell type",test,"The paper is an explicitly comparative study across five grass species (O. sativa plus Zea mays, Sorghum bicolor, Panicum miliaceum, Urochloa fusca), so species is its primary experimental factor. GPT names it first; the human omits it entirely and adds 'age', which does not appear in the paper. A substantive miss rather than a phrasing difference. Note both manifests under-represent the study at sample level, each recording only Oryza sativa.",felix.shaw@earlham.ac.uk,2026-09-10
Evolution of plant cell-type-specific cis-regulatory elements,sample,env_local_scale,Univ of Georgia greenhouse facility,Rice plant,reference,"The paper's methods say 'rice plants grown in the greenhouse' (twice) and the corresponding author's affiliation is the University of Georgia, Athens, so the human's value is well founded: greenhouse stated, institution inferred from affiliations. GPT's 'Rice plant' names the organism, not an environment, and does not answer what env_local_scale asks. Note GPT scored 'verbatim' here and the human 'partial' -- grounding measures vocabulary overlap and cannot detect a value answering the wrong question. Context: env_local_scale is inherited from the ENA/MIxS schema and is poorly defined in its documentation, expecting an ENVO environmental-context term that fits field and environmental sampling far better than a controlled laboratory plant study. The verdict stands, but GPT's answer should be read as a reasonable response to an ill-specified field rather than a plain category error.",felix.shaw@earlham.ac.uk,2026-09-10
Evolution of plant cell-type-specific cis-regulatory elements,sequencing,lib_size,160470000000,18 scATAC-seq libraries,neither,"Neither value is supported by the paper: the human's 160470000000 appears nowhere in any format, and the paper never counts its libraries (it gives 16,000 nuclei as input). The two annotators also read the field in incompatible senses -- the human as a size in bases, GPT as a count of libraries. MIxS defines lib_size as the total number of clones in the library, which supports neither cleanly. A sixth ill-defined field; see FINDINGS 3.",felix.shaw@earlham.ac.uk,2026-09-11
Gene expression variation in Arabidopsis embryos at single-nucleus resolution,sample,env_broad_scale,laboratory environment,Climate-controlled growth chamber,both,"Both true. The human's 'laboratory environment' is closer to the MIxS intent for env_broad_scale, which wants the coarse biome-level context; GPT's 'climate-controlled growth chamber' is verbatim from the paper but is a local feature belonging one tier down in env_local_scale. Another instance of the inherited environmental fields (FINDINGS 3.5) where the two annotators answer different questions, one the schema's and one the paper's.",felix.shaw@earlham.ac.uk,2026-09-11
Gene expression variation in Arabidopsis embryos at single-nucleus resolution,sample,tax_ident,3702,"Transgenic Arabidopsis thaliana accession Columbia (Col-0), identified by pWOX2-driven nuclear GFP fluorescence",neither,"Neither answers the field. In MIxS tax_ident is the phylogenetic marker used to assign an organism name (16S rRNA gene, multi-marker approach), a question designed for environmental microbiology and meaningless for a known Arabidopsis accession. The human gave NCBI taxon 3702, which belongs in samp_taxon_id and is recorded there separately; GPT described the transgenic line and its GFP selection marker, which is not taxonomic identification. Seventh ill-defined field; same shape as lib_size.",felix.shaw@earlham.ac.uk,2026-09-11
Gene expression variation in Arabidopsis embryos at single-nucleus resolution,lib_prep,spike_type,synthetic RNA controls,ERCC RNA Spike-In Mix containing 96 ERCC transcripts,test,"spike_type asks which spike-in was used. GPT names the reagent (ERCC RNA Spike-In Mix, 96 transcripts), verbatim from the paper's '96 ercc spike-in transcripts'. The human's 'synthetic RNA controls' is the category ERCC belongs to and is equally true of SIRVs and others, so it does not identify what was actually used -- a real loss of information in a field whose purpose is to name the reagent.",felix.shaw@earlham.ac.uk,2026-09-11
Identification of novel regulators required for early development of vein pattern in the c,dissociation,literature_source_reference,https://www.nature.com/articles/nprot.2007.199#Sec9,"Yoo SD, Cho YH, Sheen J. Arabidopsis mesophyll protoplasts: a versatile cell system for transient gene expression analysis. Nature Protocols. 2007;2:1565–1572.",both,"Same work: nprot.2007.199 is the DOI suffix for Yoo, Cho & Sheen (2007) Nature Protocols 2:1565-1572, which is in the paper's reference list. The human's URL is the more actionable form and its #Sec9 anchor cites the specific protocol section; GPT's prose citation is complete. The citation matcher missed this because a bare URL carries neither author surnames nor a parseable year.",felix.shaw@earlham.ac.uk,2026-09-11
Single-cell RNA sequencing of developing maize ears facilitates functional analysis and tr,dissociation,literature_source_reference,Xu et al. 2021,"Ortiz-Ramírez C, Arevalo ED, Xu X, Jackson DP, Birnbaum KD. An Efficient Cell Sorting Protocol for Maize Protoplasts. Current Protocols in Plant Biology. 2018;3:e20072.",test,"The human's value is self-referential: 'Xu et al. 2021' is the manuscript being annotated, so it does not name a prior literature source for the protocol. GPT gives the actual source the paper cites for its dissociation method, Ortiz-Ramirez et al. (2018) Curr. Protoc. Plant Biol. 3:e20072. Xu X. is a co-author on that protocol paper, which may explain the confusion. The field is clear here; this is a misreading rather than a schema problem.",felix.shaw@earlham.ac.uk,2026-09-11
Single-cell RNA sequencing profiles reveal cell typespecific transcriptional regulation ne,sample,env_local_scale,Plant incubator,Controlled growth cabinet,both,"Synonyms for the same apparatus; the paper says 'growth cabinet'. GPT scores grounded only because it used the paper's word. Another instance of the inherited MIxS environmental fields (FINDINGS 3.5). Note the human's value is not_assessable because 'plant' is a stopword, leaving fewer than two distinctive tokens -- short values containing common domain words cannot be scored at all.",felix.shaw@earlham.ac.uk,2026-09-11
Single-cell RNA sequencing profiles reveal cell typespecific transcriptional regulation ne,dissociation,dissociation_protocol_method,"The preparation of protoplasts was based on previously described protocol (Ortiz-Ramírez et al., 2018) with major modifications to improve the yield and viability of the protoplasts. In the hood, 7 mm length tips were cut above the root tip with a brand-new double edged razor blade (Gillette blue blades, Cincinnati, OH, USA). A total of about 40 root tips (c.a. 1 g weight) were collected and transferred timely and carefully into the cell culture dish (60 mm × 15 mm, Eppendorf, Framingham, MA, USA) filled with 5 mL freshly prepared pre-treatment solution [Dissolve 0.75 g Sorbitol (S3889, Sigma), 0.0075 g L-Cysteine (C7352, Sigma) in 25 mL double distilled H2O, filter sterilized using the 250 mL filter holder (REF#300-4000, Nalgene, Rochester, NY, USA) equipped with cellulose acetate filter (47 mm in diameter, pore size 0.2 μm; REF#11107-47, Sartorius Stedim Biotech, Göttingen, Niedersachsen, Germany) with the help of the #5-SA tweezers (VETUS by Peakwin, Shanghai, China)]. Finally, the culture dish was covered with aluminum foil and incubated at 27°C with 35 rpm shaking for 40 min. After incubation, remove most of the pretreatment solution of the petri dish, prior to the next step, blot up the root tip carefully with paper towels (Cat. 06-666A, Kimberly-Clark, Dallas, TX, USA). On the lid of the culture dish (24 cm × 24 cm), the upper end of the root tip was held by the #5-SA forceps to keep it in place, then the root tip (5 mm in length) was straight-across cut into 0.5 mm thick slices using the double edge razor blade. The slices piled up on the surface of the blades and the lid surface were gently collected and transferred into the culture dish containing 5 mL of Enzyme solution by tweezers. The enzyme solution was freshly prepared during the pre-treatment procedure to ensure the efficiency of the enzymes. For each 15 mL of Enzyme solution, dissolve 1.5 g D-Mannitol (M1902, Sigma), 0.022 g KCl (P5405, Sigma), 0.15 g Cellulase “Onozuka” R10 (Yakult pharmaceutical iindustry CO, Ninatoku, Tokyo, Japan), 0.075 g Macerozyme R10 (Yakult), and 0.045 g pectolyase Y-23 (P8004, GoldBio, St Louis, MO, USA) in a 50 mL falcon tube (Nalgene Nunc) with 10 mL ddH2O at 55°C for 10 min, shake the tube occasionally. When the solution cooled down to room temperature, subsequently added with 150 μL 1 M CaCl2 (C7902, Sigma), 0.015 g BSA (Bovine serum albumin, A1933, Sigma), and 3 μL β-Mercaptoethanol (BP176, Fisher), adjust the final volume to 15 mL with ddH2O. Then wrap the cell culture dish with aluminum foil and incubated for 120 min at 27°C with gentle shaking (35 rpm). At the end of the incubation, added 5 mL of pre-cooled W5 solution [Prepare 40 mL solution, weight 0.36 g NaCl (BP358, Fisher), 0.634 g CaCl2∙ 2H2O (C7902, Sigma), 0.015 g KCl (P5405, Sigma), 0.036 g D-(+)-glucose (G7021, Sigma), 0.012 g 2-(4-Morpholino)-Ethane Sulfonic Acid (MES, BP300, Fisher), adjust the solution to pH 5.8 with 1 M KOH (P250, Fisher) solution, filter sterilized], mix the solutions mildly using a 1-mL pipette with wide bore filtered tip (REF#21-236, Thermo Scientific, Waltham, MA, USA), pipette up and down several times to release the protoplasts thoroughly. Place the W5 solution pre-infiltrated 40-μm nylon cell strainer (REF352340, Falcon, Corning, NY, USA) on top of a 50-mL round bottom centrifuge tube (REF#05-562-10B, Nalgene) that was placed in ice, filter the protoplast solution through the cell strainer with the help of a 1-mL pipette to remove the undigested tissue and debris. Spin at 300 × g for 3 min in a pre-cooled centrifuge to pellet the protoplasts by using a 1-mL pipette. Then washed the pellet with 6 mL cooled W5 solution by mild pipetting several times. Harvested protoplasts by centrifugation with the speed of 200 × g at 4°C for 2 min 30 s. Resuspend the cells with 500–1000 μL of pre-cooled PBS, the volume of the PBS solution could be adjusted depending on the pellet size. To prepare the PBS solution, dissolve 1.46 g D-Mannitol (M1902, Sigma), 0.16 g NaCl (BP358, Fisher), 0.004 g KCl (P5405, Sigma), 0.0048 g K2HPO4 (P2222, Sigma), 0.0288 Na2HPO4(RDD038, Sigma) and 0.02 g MES (BP300, Fisher) in 20 mL ddH2O, adjust pH 7.2 with 1 M KOH (Sigma), sterilized with cellulose acetate filter. Aspirate 10 μL of the suspension for microscopic examination, another washing with 4 mL of PBS solution and resuspension was needed if debris was found under the microscope. An additional procedure was designed for the easy removal of cell aggregates or large particles to obtain uniform single-cell by using MACS® SmartStrainers (30 μm, Miltenyi Biotec, Bergisch, Gladbach, Germany). The strainer was infiltrated with PBS solution, and placed on top of a 2 mL round-bottomed tube (Axygen, Union City, CA, USA) that was placed in ice, and pass the protoplasts suspended in PBS solution through the filter. Cover the tube with aluminum foil and keep it on ice for 30 min to enrich the cells, remove the upper part of the suspension carefully with a 200-μL wide bore filtered tip, and keep the rest (100 μL–200 μL) for the subsequent experiments.",Protoplast isolation,both,"EVIDENCE CONFOUND, not a difference in ability. The human's value is a verbatim supplementary methods protocol: twenty distinctive strings from it (Gillette, Kimberly-Clark, Sartorius, GoldBio, Onozuka, macerozyme, pectolyase, W5 solution, specific masses) appear nowhere in the PDF, and the main text states the protocol is 'available in Appendix S1 section of the supporting information'. The human curator had the supplement; GPT had the paper only and could not have produced this value. GPT's 'Protoplast isolation' is a fair summary of what the main text actually contains. Settles FINDINGS 4.1.",felix.shaw@earlham.ac.uk,2026-09-11
Single-cell-type transcriptomic analysis reveals distinct gene expression profiles in whea,cell_suspension,suspension_type,single-cell suspension of guard cells,Isolated guard cells retained on cuticle layers,test,"The study deliberately does not make a suspension: its novel method preserves guard cells attached to the cuticle layers, stated in the abstract. The human's 'single-cell suspension of guard cells' asserts the opposite of what was done, forcing the value into the shape the controlled-vocabulary field expects. GPT describes the material accurately but gives no controlled term. A wrong fact in the expected format is worse than a right fact in the wrong format.",felix.shaw@earlham.ac.uk,2026-09-11
Single-cell-type transcriptomic analysis reveals distinct gene expression profiles in whea,cell_suspension,suspension_type,single-cell suspension of guard cells (ABA-treated),Isolated guard cells retained on cuticle layers,test,"Same disagreement as the untreated sample in this paper, differing only by the ABA treatment label; verdict applied by extension. The study preserves guard cells on the cuticle layers rather than making a suspension, so the human's value asserts the opposite of the method.",felix.shaw@earlham.ac.uk,2026-09-11
Single-nuclei transcriptome analysis of the shoot apex vascular system differentiation in ,person,funder,United States Department of Energy,"U.S. Department of Energy, Office of Science, Biological and Environmental Research",both,"Same funder at different specificity: the human gives the top-level agency, GPT the full programme office as printed ('u.s. department of energy office of science biological and environmental research'). The single flagged term is 'united', the paper writing 'U.S.'. Note both annotators omitted the grant number DE-SC0018247 from the same sentence, which the manifest has a separate funding field for and which is the only machine-actionable part of a funding statement.",felix.shaw@earlham.ac.uk,2026-09-11
Single-nuclei transcriptome analysis of the shoot apex vascular system differentiation in ,sample,env_local_scale,Plant incubator,In vitro culture,test,"The paper states the poplar plants were 'in vitro grown', i.e. tissue culture, which is a materially different growth environment from the incubator the human's value asserts. Note the human used the identical value 'Plant incubator' for the Cao paper, where it was correct, suggesting a default applied across papers rather than a per-paper reading.",felix.shaw@earlham.ac.uk,2026-09-11
Spatiotemporal Developmental Trajectories in the Arabidopsis Root Revealed Using High-Thro,lib_prep,lib_construction_method,10x droplet GEM barcoding and 3′ end library construction,Droplet-based single-cell 3′ gene-expression library preparation using barcoded gel beads and unique molecular identifiers; adapter-ligated libraries underwent 11 cycles of final PCR amplification.,both,"Both describe 10x Chromium library construction correctly; the human in vendor shorthand (GEM, gel bead-in-emulsion) and GPT in plain language. Consistent with the equivalent Jean-Baptiste verdict. GPT additionally captures the paper-specific detail that 11 cycles were used for final PCR amplification, which the human omits; everything else in either value is generic 10x chemistry.",felix.shaw@earlham.ac.uk,2026-09-11
The dynamic and diverse nature of parenchyma cells in the Arabidopsis root during secondar,dissociation,literature_source_reference,https://pubmed.ncbi.nlm.nih.gov/20168296/,Bargmann BO and Birnbaum KD. Fluorescence activated cell sorting of plant protoplasts. Journal of Visualized Experiments. 2010;18:e1673. The protocol was modified for this study.,both,"Same work: PMID 20168296 is Bargmann & Birnbaum (2010) J. Vis. Exp. 18:e1673, which is in the paper's reference list. Consistent with the earlier Bargmann and Yoo verdicts. The human's identifier is the more actionable form; GPT adds the useful qualifier that the protocol was modified for this study. Third URL-against-citation case the citation matcher could not resolve, a bare URL carrying neither surname nor parseable year.",felix.shaw@earlham.ac.uk,2026-09-11
The regulatory landscape of Arabidopsis thaliana roots at single-1 cell resolution,sample,env_local_scale,Plant incubator,vertically grown seedlings,reference,"Neither is particularly accurate; the human's is slightly better. 'Plant incubator' at least names a local environment, which is what env_local_scale asks for, whereas 'vertically grown seedlings' describes the plants and their orientation rather than an environment and is grounded only because those words appear in the paper. Note this is the third paper in which the human records the identical value 'Plant incubator' (also Cao and Conde), each with a different growth setup, so it appears to be a default rather than a per-paper reading. Fourth instance of the ill-defined inherited environmental fields, FINDINGS 3.5.",felix.shaw@earlham.ac.uk,2026-09-11
The regulatory landscape of Arabidopsis thaliana roots at single-1 cell resolution,dissociation,single_cell_quality_metric,None listed,"Approximate yield of 94,000 nuclei per gram of roots (fresh weight)",reference,"single_cell_quality_metric asks for the metric used to assess the efficacy of the extraction, not a yield. The paper reports no quality assessment of the nuclei prep at all: no viability stain, trypan blue, DAPI, propidium iodide or counting device appear anywhere, and its only 'quality' mentions concern downstream sequencing data. The human's 'None listed' is therefore an accurate statement about the paper, while GPT's 94,000 nuclei per gram is a productivity figure answering a different question -- one can recover a high yield of damaged nuclei. Same pattern as the temp field (FINDINGS 1.7): schema pressure producing a plausible answer where the paper gives none.",felix.shaw@earlham.ac.uk,2026-09-11
Transcriptomics of Arabidopsis sperm cells at single-cell resolution,cell_suspension,cell_viability_assessment_method,Sytox Orange live/dead staining (Sytox-negative cells gated as viable),"Sytox Orange exclusion; intact GFP-positive, Sytox Orange-negative sperm cells were selected by FACS",both,"Both name the method correctly: Sytox Orange exclusion, with Sytox-negative cells taken as viable. The human adds the explicit gating logic, GPT the GFP co-selection. The human's flagged terms ('live', 'staining') are wording the paper does not use. A useful counterpoint to the Dorrity case: where a paper does report a viability method, both annotators find it and agree.",felix.shaw@earlham.ac.uk,2026-09-11
Transcriptomics of Arabidopsis sperm cells at single-cell resolution,lib_prep,average_size_distribution,300–800 bp (post-tagmentation),Amplified cDNA peaked at approximately 1.5–1.7 kb; final Nextera libraries had a size distribution of approximately 300–800 bp,both,"Both give the same figure, 300-800 bp, which the paper states for the tagmented Nextera library. The human annotates the stage (post-tagmentation); GPT adds the pre-tagmentation cDNA peak of 1.5-1.7 kb as context, which is accurate though the field asks for a single library size distribution. The human's flagged term 'tagmentation' is in the paper as 'tagmented' -- the nominalisation gap noted in FINDINGS 5.3.",felix.shaw@earlham.ac.uk,2026-09-11
A pan-grass transcriptome reveals patterns of cellular divergence in crops,sample,temp,24,28 °C during the 16 h light period; 24 °C during the 8 h dark period,test,"GPT quotes the paper verbatim: 'rolls were placed in a bucket of tap water under 16 h light at 28 C and 8 h dark at 24 C cycles'. The human's 24 is the dark-period temperature only, losing half the regime. GPT scored 'partial' merely because the checker cannot match the compound phrasing. This is schema pressure, not invention: temp is a singular field but plant growth has a day and a night temperature. Note the paper also states 23 C for its Arabidopsis plates, a different growth condition in the same multi-species study.",felix.shaw@earlham.ac.uk,2026-09-11
A pan-grass transcriptome reveals patterns of cellular divergence in crops,dissociation,dissociation_protocol_method,"Root tips were directly transferred to pre-chilled lysis buffer (0.3M sucrose, 15 mM Tris HCl at pH 8, 60 mM KCl, 15 mM NaCl, 2 mM EDTA, 0.5 mM Spermine, 0.5 mM Spermidine, 15 mM MES, 0.1% Triton, 5 mM DTT, 1 mM PMSF, 1% Plant Protease Inhibitors 1 ml, BSA 0.4%, RNase inhibitor 0.2 μg μl−1. Roots were chopped on ice with scalpel blades for 5–10 min and transferred into a pre-chilled dounce homogenizer. The pestle was moved up and down 10 times, samples were then kept on ice for 10 min before an additional 10 strokes with the pestle. Root extracts were filtered at 20 μm into a centrifuge tube and centrifuged for 10 min at 500g (maize, sorghum, and Setaria) or at 1,000g (Arabidopsis). Pellets were washed once with washing buffer (0.3 M sucrose, 15 mM Tris HCl at pH 8, 60 mM KCl, 15 mM NaCl, 0.5 mM Spermine, 0.5 mM Spermidine, 15 mM MES, 5 mM DTT, 1 mM PMSF, 1% Plant Protease Inhibitors 1 ml, BSA* 0.4%, RNase inhibitor 0.2 U μl−1. Finally, nuclei were resuspended into a final buffer (0.3 M sucrose, 15 mM Tris HCl at pH 8, 60 mM KCl, 15 mM NaCl, 0.5 mM Spermine, 0.5 mM Spermidine, 15 mM MES, 5 mM DTT, 1% Plant Protease Inhibitors 1 ml, BSA 0.4%, RNase inhibitor 0.2 U μl−1 and filtered using a 10-μm filter.",Mechanical chopping and Dounce homogenization in detergent-containing lysis buffer followed by filtration and differential centrifugation,both,"Transcription against accurate summary. GPT's 15-word description is correct on every step (chopping, Dounce homogenisation, filtration) and its 'differential centrifugation' correctly compresses the 500g / 1,000g species split. Too long for the label-versus-transcription rulings, which cap a label at eight words; adjudicated by hand rather than widening that threshold, since fifteen words is a real description in which a genuine error could hide.",felix.shaw@earlham.ac.uk,2026-09-11
A rice single cell transcriptomic atlas defines the developmental trajectories of rice flo,sample,samp_collect_method,"Inflorescences staged by length to coincide with commencement of branching, spikelet and floret meristem development (Ikeda et al., 2004); observed and photographed using a Leica S8 APO stereomicroscope","Young inflorescences shorter than 2 mm were collected, cut into small pieces with a fresh razor blade, and enzymatically dissociated for 2 h to isolate protoplasts.",both,"Both supported by the paper. The human answers the field squarely: staging inflorescences by length and photographing them is the collection procedure. GPT drifts into dissociation (razor blade, 2 h digestion), which belongs on the dissociation sheet, but does capture the under-2-mm size criterion that is genuinely part of how samples were selected.",felix.shaw@earlham.ac.uk,2026-09-11
A rice single cell transcriptomic atlas defines the developmental trajectories of rice flo,sample,samp_collect_method,"Inflorescences staged by length to coincide with commencement of branching, spikelet and floret meristem development (Ikeda et al., 2004); observed and photographed using a Leica S8 APO stereomicroscope","Young inflorescences 2–3 mm long were collected, cut into small pieces with a fresh razor blade, and enzymatically dissociated for 2 h to isolate protoplasts.",both,"Same disagreement as the under-2-mm stage in this paper, differing only in the size criterion; verdict applied by extension.",felix.shaw@earlham.ac.uk,2026-09-11
Cell-by-cell dissection of phloem development links a maturation gradient to cell speciali,study,associated_resource,https://doi.org/10.1126/science.aba5531,NCBI GEO: GSE140778,test,"GPT points at the actual data resource; the human's value is the paper's own DOI, which is self-referential and adds nothing for a reader of the manifest. GPT's GSE140778 is stated in the paper, though it is one of three deposited accessions (GSE142259, GSE140778, GSE140977), so the value is correct but incomplete. Note GPT scored 'unsupported' only because the label words 'NCBI' and 'GEO' are absent from the paper, which spells the institution out, diluting a correct accession to 1/3 coverage.",felix.shaw@earlham.ac.uk,2026-09-11
Dynamics of Gene Expression in Single Root Cells of Arabidopsis thaliana,sample,env_local_scale,"growth chamber (long-day 16 h light / 8 h dark; 100 mmol m2 s, 50% relative humidity)",Murashige and Skoog agar plate,reference,"The human names a local environment (growth chamber, with photoperiod, light intensity and humidity); GPT names the growth medium, which belongs in env_medium. Both are true of the experiment but they describe different tiers. Third paper in which GPT's env_local_scale answer belongs in another field, after Yan (the organism) and Conde (the culture system).",felix.shaw@earlham.ac.uk,2026-09-11
